micro_skill_code,question_id,questionType,correctAnswer
MATH-MS-001,00a39dab-3bcf-4749-b9dd-ca176de2d29e,MATH_MCQ,D
MATH-MS-001,03287687-927a-45b0-a9e4-b76281373c50,MATH_MCQ,D
MATH-MS-001,104975f8-a1f7-4b26-87ab-803b91b9c8dd,MATH_MCQ,A
MATH-MS-001,23304679-bc2f-419b-ac42-c459cf3df8a6,MATH_SPR,9
MATH-MS-001,28c8dd78-21cc-465d-8bba-c3de9a6189c1,MATH_MCQ,D
MATH-MS-001,32f519e2-414c-4aa9-a87a-445528282f57,MATH_SPR,6
MATH-MS-001,35f7620d-0f00-4930-84b8-030cf47a090c,MATH_MCQ,A
MATH-MS-001,42961db2-6ca1-4e60-915b-e02fe6e5794a,MATH_MCQ,D
MATH-MS-001,492772cd-3d3c-4eca-914b-9f8b3bf70150,MATH_SPR,6
MATH-MS-001,4caf1a93-e190-4fc8-ba71-3518613c3b38,MATH_SPR,3
MATH-MS-001,59c560d8-bb11-491a-bad1-2d7d8bec7c64,MATH_MCQ,C
MATH-MS-001,5f515821-6333-482b-8349-561318582b57,MATH_SPR,5
MATH-MS-001,632520b6-7250-4667-919b-e1f610b1f364,MATH_MCQ,A
MATH-MS-001,661c2f26-e663-4155-b5bb-c9044bbd45e0,MATH_MCQ,D
MATH-MS-001,6ee1402d-f10e-4700-8523-90b0074362d8,MATH_SPR,9
MATH-MS-001,79b79e97-f8ca-472c-9068-0a50ffe843af,MATH_SPR,3
MATH-MS-001,7e79c6c8-3152-4890-9eff-a3ee95a8a53e,MATH_MCQ,A
MATH-MS-001,84dd7c32-6f79-40b1-a629-0faa7c5d17be,MATH_MCQ,A
MATH-MS-001,915e1932-f145-44b7-a28c-f02f045e8ce7,MATH_SPR,6
MATH-MS-001,950cdd1a-a8ac-4377-9957-aaa917bccc33,MATH_MCQ,A
MATH-MS-001,9a92a988-86c2-4744-a093-7188f82600c1,MATH_MCQ,D
MATH-MS-001,9d53bd1d-224f-4203-a44f-a869e667724f,MATH_MCQ,A
MATH-MS-001,b5192036-d40a-4ede-be56-aba921067b7c,MATH_SPR,9
MATH-MS-001,c06f80e0-6f61-4dfb-a8bf-8f0616992001,MATH_MCQ,D
MATH-MS-001,d028d5aa-1a60-45aa-87bd-c8daf44aaacc,MATH_MCQ,A
MATH-MS-001,e93ed4a4-9000-4dd4-ba6f-762531bb3dec,MATH_SPR,3
MATH-MS-001,efd36dd0-3b07-44f8-a4f1-4828c794b9b1,MATH_MCQ,D
MATH-MS-001,f3f8fc1f-55b2-415c-b01b-462c324cd40d,MATH_MCQ,A
MATH-MS-001,f4099bef-e3cf-4b99-b8c1-f2d4e49eb2f6,MATH_MCQ,D
MATH-MS-001,fb48630d-19f8-45f2-b3d7-5723c54a9edd,MATH_MCQ,D
RW-MS-001,003006ac-f5ff-4998-b8d6-1d4c81cdfac2,RW_PASSAGE_MCQ,A
RW-MS-001,10fdfa68-26a2-4a74-b670-bc220e160daf,RW_PASSAGE_MCQ,C
RW-MS-001,12a32f81-08fb-4f51-bc08-b1c8f8eeb110,RW_PASSAGE_MCQ,A
RW-MS-001,19ad43d0-cfa7-44d7-854a-2d6aad48c63b,RW_PASSAGE_MCQ,B
RW-MS-001,1be8f04e-9bab-4cae-a7a4-1b55cbc6a6ce,RW_PASSAGE_MCQ,C
RW-MS-001,1d384249-6ade-4b57-bd98-29b37f94c934,RW_PASSAGE_MCQ,C
RW-MS-001,26997352-bd02-4710-8e7c-4564f9395a42,RW_PASSAGE_MCQ,C
RW-MS-001,3081a25e-4e13-4fe6-9062-3e565b924554,RW_PASSAGE_MCQ,A
RW-MS-001,34e5b610-5278-4990-8317-1ca738fb64d8,RW_PASSAGE_MCQ,A
RW-MS-001,4090f967-ebcc-4a6f-afec-3117f8c516ec,RW_PASSAGE_MCQ,B
RW-MS-001,53bfd807-67c3-4602-8033-c7df0e5465c2,RW_PASSAGE_MCQ,C
RW-MS-001,55743041-b363-48db-802b-b67daa75c23b,RW_PASSAGE_MCQ,C
RW-MS-001,5a428bde-0b0d-4613-aeca-5da57540cbb0,RW_PASSAGE_MCQ,B
RW-MS-001,662d9f3f-6099-40f8-a49f-0d2b33136238,RW_PASSAGE_MCQ,B
RW-MS-001,6f4bd54c-d37c-44bf-ba63-b25ce513df61,RW_PASSAGE_MCQ,A
